UNIT_ID,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,SHAPE_Length,SHAPE_Area
San Diego County,SILVERADO,2014-09,2014/09/21 00:00:00+00,9.0,959.0,959.01294,12922.6680092337,5628922.7154883
El Dorado County,KING,2014-09,2014/10/10 00:00:00+00,7.0,97717.0,97684.547,364390.076349599,653652229.560996
El Dorado County,IRENE,2014-09,2014/09/23 00:00:00+00,1.0,94.0,94.216576,6402.12629123809,625076.107511408
Inyo County,BALL MOUNTAIN,2014-09,2014/11/10 00:00:00+00,1.0,24.0,24.908451,1543.88855686485,154633.175189806
Inyo County,JUNE,2014-09,2014/09/26 00:00:00+00,2.0,45.47,45.36808,3461.31157174427,294315.517692655
Placer County,CASCADE,2014-09,2014/10/02 00:00:00+00,4.0,26.0,21.705002,3415.20492001831,145311.040160253
Lassen County,CAMPBELL,2014-01,2014/01/10 00:00:00+00,4.0,865.0,864.94684,15942.1257544655,5982421.30170347
Lassen County,BALD,2014-07,2014/08/15 00:00:00+00,1.0,39751.0,39752.195,115427.87771551,281617429.871828
Lassen County,EILER,2014-07,2014/08/24 00:00:00+00,9.0,47958.0,31995.219,131216.749269615,226121888.761417
Modoc County,HOWARDS,2014-05,2014/06/04 00:00:00+00,6.0,45.0,44.96093,2763.44495201149,324505.052557143
Modoc County,DOBIE,2014-07,2014/07/02 00:00:00+00,1.0,456.0,456.01004,13922.1703211685,3319999.24102323
Modoc County,NORTHERN ,2014-07,2014/07/03 00:00:00+00,1.0,117.0,117.40453,7345.49025351305,854409.770989247
Modoc County,LAKE,2014-07,2014/07/04 00:00:00+00,1.0,75.0,58.100838,5256.16478563081,423180.649413409
Modoc County,DALTON,2014-07,2014/08/20 00:00:00+00,1.0,641.0,641.46698,25146.8422574887,4664097.31747175
Modoc County,GULCH ,2014-07,2014/08/01 00:00:00+00,6.0,1396.0,1397.3489,26547.5611920371,10082156.7177961
Modoc County,GULCH3,2014-07,2014/08/01 00:00:00+00,6.0,58.0,58.040298,3409.59410616684,419003.950256317
Modoc County,GULCH4,2014-07,2014/08/01 00:00:00+00,6.0,15.0,14.74375,1631.1994247829,106457.478515521
Modoc County,LITTLE ,2014-08,2014/09/18 00:00:00+00,1.0,101.0,100.72451,4140.44543663368,727587.932799154
Modoc County,MUD ,2014-07,2014/08/01 00:00:00+00,1.0,15.0,14.856166,1550.79420689275,107249.23944959
Plumas County,CHANCE,2014-07,2014/07/18 00:00:00+00,1.0,28.3,28.614201,1780.09749959164,196854.386400369
Fresno County,SHIRLEY,2014-06,2014/06/13 00:00:00+00,9.0,2545.0,2546.1648,26023.6099968835,15658776.4263429
Fresno County,NICOLLS,2014-07,2014/07/11 00:00:00+00,9.0,1680.0,1679.2169,18933.1083496279,10308705.7482296
Fresno County,RANCH,2014-07,2014/07/01 00:00:00+00,9.0,70.0,69.251152,3257.02075442823,425831.28472429
Fresno County,SODA,2014-01,2014/03/22 00:00:00+00,9.0,1435.0,1423.2317,24864.3552969707,8866919.16146398
Trinity County,COFFEE,2014-07,2014/10/30 00:00:00+00,1.0,6251.0,6181.7729,35542.719435239,44165985.4251252
Trinity County,DEER,2014-09,2014/10/21 00:00:00+00,1.0,13.6,13.466912,2785.5298208196,95535.148639497
Trinity County,WEST,2014-07,2014/07/09 00:00:00+00,9.0,15.0,14.304735,2178.73056045634,99953.1734887083
Trinity County,LAKIN,2014-07,2014/07/29 00:00:00+00,1.0,18.0,17.334587,2578.92710539366,124686.573919249
Trinity County,RAYS,2014-07,2014/10/15 00:00:00+00,1.0,21.0,20.833996,2363.90489463359,148381.965574744
Trinity County,SODA,2014-04,2014/05/09 00:00:00+00,5.0,8.3,10.934291,1241.25655550966,78179.391718208
Mariposa County,FRENCH,2014-07,2014/08/18 00:00:00+00,4.0,13837.0,13831.639,74291.2012158164,88612906.6811489
Mariposa County,BALD ROCK,2014-01,2014/02/10 00:00:00+00,9.0,13.5,13.865872,1678.44016241923,89255.6571037394
Tuolumne County,MONTGOMERY,2014-09,2014/09/11 00:00:00+00,3.0,76.0,78.531944,4534.91581441148,507940.456406176
Yuba County,WALKER,2014-09,2014/10/12 00:00:00+00,9.0,12.3,12.364221,1763.90545305669,83946.0310295099
Yuba County,HIRSCHDALE,2014-08,2014/11/02 00:00:00+00,9.0,83.0,81.862617,3854.97293665125,555362.583202288
Yuba County,ELEPHANT,2014-07,2014/08/07 00:00:00+00,1.0,22.0,21.233053,1701.48356123031,145287.121252174
Yuba County,HARDING,2014-07,2014/11/03 00:00:00+00,1.0,63.0,63.1334,5970.36891693394,431081.878605295
San Bernadino County,EAGLE CANYON,2014-10,2014/10/12 00:00:00+00,4.0,9.8,10.992113,2187.93641948064,64554.7893922004
Siksiyou County,LITTLE DEER,2014-07,2014/08/12 00:00:00+00,1.0,5498.0,5499.7065,33708.921186437,39923459.0470908
Siksiyou County,BEAVER,2014-07,2014/10/08 00:00:00+00,1.0,32496.0,32493.396,184785.729757575,237442299.520524
Siksiyou County,LEEF,2014-07,2014/07/29 00:00:00+00,1.0,17.0,16.639614,2535.0958207515,119218.370157226
Siksiyou County,LOG,2014-07,2014/08/28 00:00:00+00,1.0,3632.0,3636.8533,31397.0443540947,26292428.0838343
Siksiyou County,WHITES,2014-07,2014/09/25 00:00:00+00,1.0,33758.0,33794.438,175595.080506412,242634135.680765
Siksiyou County,JACKSON,2014-08,2014/08/14 00:00:00+00,1.0,28.0,28.742876,2858.12774955132,209849.77820215
Siksiyou County,SUTCLIFFE,2014-08,2014/08/14 00:00:00+00,1.0,27.0,26.325865,2002.92363676049,192683.028706914
