date,county,maxtempF,mintempF,avgtempF,totalSnow_cm,humid,wind,precip,sunHour,lat,long
2008-07,Sierra County,86.29032258064517,46.64516129032258,76.70967741935483,0.0,32.70967741935484,5.451612903225806,0.0,14.396774193548389,39.58,-120.52
2008-07,Sacramento County,97.29032258064515,63.41935483870968,86.51612903225806,0.0,39.83870967741935,4.741935483870968,0.0,13.741935483870972,38.45000000000002,-121.34000000000006
2008-07,Santa Barbara County,89.12903225806451,59.70967741935484,80.54838709677419,0.0,41.45161290322581,7.354838709677419,0.0,13.164516129032268,34.539999999999985,-120.03999999999998
2008-07,Calaveras County,96.41935483870968,51.29032258064516,87.03225806451613,0.0,33.58064516129032,5.387096774193548,0.0,14.022580645161293,38.17999999999999,-120.55999999999996
2008-07,Ventura County,78.61290322580645,61.354838709677416,73.19354838709677,0.0,41.54838709677419,5.483870967741935,0.0032258064516129032,13.551612903225816,34.36,-119.13000000000008
2008-07,Los Angeles County,87.58064516129032,59.064516129032256,79.25806451612904,0.0,51.806451612903224,4.774193548387097,0.0064516129032258064,13.96451612903226,34.20000000000002,-118.2600000000001
2008-07,Sonoma County,76.64516129032258,57.064516129032256,71.16129032258064,0.0,57.516129032258064,9.709677419354838,0.0,13.000000000000009,38.52999999999998,-122.92999999999996
2008-07,Kings County,104.70967741935485,66.09677419354838,92.96774193548389,0.0,25.387096774193548,5.032258064516129,0.0,13.738709677419362,36.070000000000014,-119.82000000000004
2008-07,San Diego County,88.51612903225806,59.25806451612903,80.06451612903226,0.0,51.16129032258065,4.612903225806452,0.0064516129032258064,14.064516129032254,33.01999999999999,-116.78000000000009
2008-07,Placer County,87.83870967741936,56.12903225806452,79.03225806451613,0.0,34.483870967741936,5.709677419354839,0.0,14.2,39.05999999999997,-120.71999999999991
2008-07,San Francisco County,67.61290322580645,57.70967741935484,64.7741935483871,0.0,70.25806451612904,9.935483870967742,0.0,12.62580645161291,37.73000000000001,-123.03000000000009
2008-07,Marin County,67.61290322580645,57.70967741935484,64.7741935483871,0.0,70.25806451612904,9.935483870967742,0.0,12.903225806451625,38.049999999999976,-122.75
2008-07,Mariposa County,78.51612903225806,54.483870967741936,72.7741935483871,0.0,28.548387096774192,5.935483870967742,0.0064516129032258064,14.112903225806456,37.570000000000014,-119.90999999999995
2008-07,Lassen County,84.6774193548387,49.25806451612903,76.41935483870968,0.0,30.258064516129032,5.67741935483871,0.0,14.5,40.72000000000002,-120.63000000000008
2008-07,Napa County,89.45161290322581,54.903225806451616,79.3225806451613,0.0,48.516129032258064,6.451612903225806,0.0,13.27741935483872,38.51,-122.32999999999996
2008-07,Shasta County,93.83870967741936,55.45161290322581,84.35483870967742,0.0,36.0,6.096774193548387,0.0,14.025806451612906,40.76,-122.03999999999998
2008-07,Monterey County,93.83870967741936,56.064516129032256,82.54838709677419,0.0,38.12903225806452,5.419354838709677,0.0,12.993548387096782,36.24,-121.32000000000004
2008-07,Trinity County,82.74193548387096,51.45161290322581,74.58064516129032,0.0,48.03225806451613,5.516129032258065,0.0,13.529032258064523,40.650000000000006,-123.11000000000004
2008-07,Mendocino County,83.3225806451613,57.29032258064516,75.7741935483871,0.0,49.645161290322584,7.741935483870968,0.0,13.090322580645172,39.42999999999999,-123.44000000000004
2008-07,Inyo County,101.48387096774194,73.6774193548387,93.83870967741936,0.0,16.677419354838708,6.387096774193548,0.0,14.438709677419356,36.55999999999997,-117.40000000000006
2008-07,Mono County,80.87096774193549,44.16129032258065,72.09677419354838,0.0,26.580645161290324,4.709677419354839,0.0032258064516129032,14.432258064516128,37.92,-118.88000000000008
2008-07,Tuolumne County,81.90322580645162,50.2258064516129,74.51612903225806,0.0,32.29032258064516,6.354838709677419,0.0,14.138709677419357,38.01999999999999,-119.96000000000002
2008-07,Solano County,93.25806451612904,56.774193548387096,81.96774193548387,0.0,47.25806451612903,6.548387096774194,0.0,13.370967741935493,38.26999999999999,-121.94000000000004
2008-07,San Bernardino County,101.0,69.48387096774194,92.16129032258064,0.0,23.64516129032258,7.806451612903226,0.02258064516129032,14.235483870967744,34.86,-116.17999999999996
2008-07,Contra Costa County,89.29032258064517,56.29032258064516,78.96774193548387,0.0,50.96774193548387,6.612903225806452,0.0,13.27741935483872,37.92,-121.94999999999992
2008-07,Alpine County,79.41935483870968,47.0,71.93548387096774,0.0,35.516129032258064,5.064516129032258,0.0,14.303225806451614,38.61999999999998,-119.80000000000008
2008-07,El Dorado County,86.25806451612904,52.41935483870968,77.54838709677419,0.0,36.54838709677419,5.419354838709677,0.0,14.2,38.78999999999999,-120.53000000000009
2008-07,Yolo County,95.7741935483871,58.193548387096776,84.74193548387096,0.0,42.54838709677419,5.612903225806452,0.0,13.55806451612904,38.67999999999999,-121.90000000000006
2008-07,Yuba County,96.58064516129032,61.193548387096776,86.29032258064517,0.0,32.0,5.838709677419355,0.0,13.89677419354839,39.26999999999999,-121.34000000000006
2008-07,San Benito County,90.90322580645162,51.58064516129032,81.29032258064517,0.0,43.67741935483871,5.225806451612903,0.0,13.274193548387109,36.60999999999999,-121.09000000000006
2008-07,Humboldt County,71.3225806451613,53.45161290322581,65.87096774193549,0.0,69.64516129032258,9.225806451612904,0.0,13.248387096774202,40.710000000000015,-123.92999999999996
2008-07,Riverside County,106.09677419354838,64.70967741935483,95.5483870967742,0.0,26.93548387096774,6.935483870967742,0.009677419354838712,14.083870967741932,33.73000000000001,-116.0
2008-07,Kern County,100.51612903225806,53.67741935483871,86.90322580645162,0.0,24.838709677419356,5.548387096774194,0.0,14.093548387096778,35.35,-118.73
